Week,Function,Output
1,F1,-9.555e-21
1,F2,0.4507
1,F3,-0.1386
1,F4,-6.0458
1,F5,1421.04
1,F6,-0.5406
1,F7,0.1565
1,F8,9.7576
2,F1,-1.179e-22
2,F2,0.5879
2,F3,-0.0556
2,F4,-7.3632
2,F5,2208.23
2,F6,-0.6364
2,F7,0.9791
2,F8,9.7841
3,F1,6.456145434851597e-05
3,F2,0.5141120008059867
3,F3,0.5141120008059867
3,F4,0.5141120008059867
3,F5,1470.1884615384618
3,F6,0.0007719942433019237
3,F7,0.16191730769230772
3,F8,0.5141120008059867
4,F1,0.0005849421100936375
4,F2,0.42431975046920717
4,F3,0.42431975046920717
4,F4,0.42431975046920717
4,F5,1486.5846153846155
4,F6,0.0003323976669562791
4,F7,0.16372307692307694
4,F8,0.42431975046920717
5,F1,-0.0005585411994119829
5,F2,0.4041075725336861
5,F3,0.4041075725336861
5,F4,0.4041075725336861
5,F5,1502.9807692307693
5,F6,-0.0005422007661095144
5,F7,0.16552884615384617
5,F8,0.4041075725336861
6,F1,-0.0008909508468540272
6,F2,0.4720584501801074
6,F3,0.4720584501801074
6,F4,0.4720584501801074
6,F5,1519.376923076923
6,F6,0.0002612195254629501
6,F7,0.1673346153846154
6,F8,0.4720584501801074
7,F1,-0.00071994350401689
7,F2,0.565698659871879
7,F3,0.565698659871879
7,F4,0.565698659871879
7,F5,1535.7730769230768
7,F6,-0.0015802145829242834
7,F7,0.1691403846153846
7,F8,0.565698659871879
8,F1,-5.513738368144982e-05
8,F2,0.5989358246623382
8,F3,0.5989358246623382
8,F4,0.5989358246623382
8,F5,1552.169230769231
8,F6,0.0010582420401334194
8,F7,0.17094615384615386
8,F8,0.5989358246623382
9,F1,-0.0002861592289529718
9,F2,0.5412118485241757
9,F3,0.5412118485241757
9,F4,0.5412118485241757
9,F5,1568.5653846153848
9,F6,-0.00015138165476727834
9,F7,0.17275192307692308
9,F8,0.5412118485241757
10,F1,0.0006195444482686822
10,F2,0.445597888911063
10,F3,0.445597888911063
10,F4,0.445597888911063
10,F5,1584.9615384615386
10,F6,-6.156389152781801e-06
10,F7,0.1745576923076923
10,F8,0.445597888911063
11,F1,-0.0007433390882437134
11,F2,0.4000009793449296
11,F3,0.4000009793449296
11,F4,0.4000009793449296
11,F5,1601.3576923076923
11,F6,0.0005207852475664583
11,F7,0.17636346153846152
11,F8,0.4000009793449296
12,F1,0.0006270980675602277
12,F2,0.4463427081999565
12,F3,0.4463427081999565
12,F4,0.4463427081999565
12,F5,1617.753846153846
12,F6,-0.0005262496499630364
12,F7,0.17816923076923077
12,F8,0.4463427081999565
13,F1,0.0001689015601858305
13,F2,0.5420167036826641
13,F3,0.5420167036826641
13,F4,0.5420167036826641
13,F5,1634.1499999999999
13,F6,-0.0003071999236370449
13,F7,0.179975
13,F8,0.5420167036826641
